=== viewer launch 1 at 23:39:48
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

6750 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6780 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6810 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6840 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6870 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6900 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6930 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6960 frames  58.8 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6990 frames  58.9 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
7020 frames  58.9 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
7050 frames  58.9 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
7080 frames  58.9 fps  47 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
7110 frames  58.9 fps  48 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
7140 frames  58.9 fps  48 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.9 ms   
7170 frames  58.9 fps  48 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.9 ms   
7200 frames  58.8 fps  48 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.9 ms   
