=== viewer launch 1 at 23:50:58
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

6450 frames  45.1 fps  33 Mbps  worst gap 16884.2 ms  0 lost  pc 23.3 ms  console 19.6 ms   
6480 frames  45.0 fps  33 Mbps  worst gap 16884.2 ms  0 lost  pc 23.3 ms  console 19.6 ms   
6510 frames  44.9 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.4 ms  console 19.6 ms   
6540 frames  44.8 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.4 ms  console 19.6 ms   
6570 frames  44.7 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.5 ms  console 19.6 ms   
6600 frames  44.6 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.6 ms  console 19.6 ms   
6630 frames  44.5 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.6 ms  console 19.6 ms   
6660 frames  44.4 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.7 ms  console 19.6 ms   
6690 frames  44.3 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.7 ms  console 19.7 ms   
6720 frames  44.2 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.8 ms  console 19.7 ms   
6750 frames  44.1 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.9 ms  console 19.7 ms   
6780 frames  44.0 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 23.9 ms  console 19.7 ms   
6810 frames  43.9 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 24.0 ms  console 19.7 ms   
6840 frames  43.8 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 24.0 ms  console 19.7 ms   
6870 frames  43.7 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 24.1 ms  console 19.7 ms   
6900 frames  43.7 fps  32 Mbps  worst gap 16884.2 ms  0 lost  pc 24.1 ms  console 19.7 ms   
6930 frames  43.6 fps  31 Mbps  worst gap 16884.2 ms  0 lost  pc 24.2 ms  console 19.7 ms   
6960 frames  43.3 fps  31 Mbps  worst gap 16884.2 ms  0 lost  pc 24.3 ms  console 21.5 ms   
6965 packets, 6965 frames shown/decoded, 0 not decoded, 0 lost (frame-number gaps), 626.2 MB, 43.3 fps, worst gap 16884.2 ms, decode avg 0.56 ms
117 keyframes (IDR), 6848 other
PC latency (header arrival -> on screen): avg 24.3 ms, max 234.0 ms over 6963 frames
console latency (present -> header sent): avg 22.2 ms, max 1648.7 ms
packets=6965 frames=6965 undecoded=0 lost=0
=== viewer 1 exited rc=0 at 23:54:17
