=== viewer launch 1 at 23:27:21
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

4650 frames  58.5 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4680 frames  58.5 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4710 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4740 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4770 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4800 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4830 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4860 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4890 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4920 frames  58.6 fps  24 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4950 frames  58.6 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4980 frames  58.6 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
5010 frames  58.6 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
5040 frames  58.6 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
5070 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5100 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5130 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5160 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
